,subfamily,sum,celltype
pseudobulk_51,KLF/SP/2:C2H2,1.343197772424901,mature natural killer cell
pseudobulk_52,KLF/SP/2:C2H2,1.4833166237949627,precursor B cell
pseudobulk_53,KLF/SP/2:C2H2,1.6363350709943916,late pro-B cell
pseudobulk_54,KLF/SP/2:C2H2,1.4120420366762119,immature T cell
pseudobulk_55,KLF/SP/2:C2H2,1.2345879808797235,naive B cell
pseudobulk_56,KLF/SP/2:C2H2,1.3404507209070289,immature B cell
pseudobulk_57,KLF/SP/2:C2H2,1.4227827043378056,naive B cell
pseudobulk_58,KLF/SP/2:C2H2,1.4765843195423258,mature natural killer cell
pseudobulk_59,KLF/SP/2:C2H2,1.5627345706234337,Slamf1-positive multipotent progenitor cell
pseudobulk_60,KLF/SP/2:C2H2,1.5578393267096544,granulocyte monocyte progenitor cell
pseudobulk_61,KLF/SP/2:C2H2,1.5752799342590151,Slamf1-negative multipotent progenitor cell
pseudobulk_62,KLF/SP/2:C2H2,1.5773705192186753,common lymphoid progenitor
pseudobulk_63,KLF/SP/2:C2H2,1.5774939250368334,Slamf1-positive multipotent progenitor cell
pseudobulk_64,KLF/SP/2:C2H2,1.250751652552026,monocyte
pseudobulk_65,KLF/SP/2:C2H2,1.503339146066537,monocyte
pseudobulk_66,KLF/SP/2:C2H2,1.1347367105154262,granulocyte
pseudobulk_67,KLF/SP/2:C2H2,1.0066572913767686,granulocyte
pseudobulk_68,KLF/SP/2:C2H2,1.4901049355485156,monocyte
pseudobulk_69,KLF/SP/2:C2H2,1.4074726517683303,macrophage
pseudobulk_70,KLF/SP/2:C2H2,1.3820657947539985,granulocyte
pseudobulk_71,KLF/SP/2:C2H2,1.0931947722629047,granulocyte
pseudobulk_72,KLF/SP/2:C2H2,1.022728512136382,granulocyte
pseudobulk_73,KLF/SP/2:C2H2,1.369754761310105,granulocyte
pseudobulk_74,KLF/SP/2:C2H2,1.4956403582218627,monocyte
pseudobulk_75,KLF/SP/2:C2H2,1.1019472337029583,granulocyte
pseudobulk_76,KLF/SP/2:C2H2,1.3307943326053646,naive B cell
pseudobulk_77,KLF/SP/2:C2H2,1.6124694445115892,Slamf1-negative multipotent progenitor cell
pseudobulk_78,KLF/SP/2:C2H2,1.5712414157569583,Slamf1-negative multipotent progenitor cell
pseudobulk_79,KLF/SP/2:C2H2,1.6048046626456198,Slamf1-negative multipotent progenitor cell
pseudobulk_80,KLF/SP/2:C2H2,1.591884369350737,Slamf1-negative multipotent progenitor cell
pseudobulk_81,KLF/SP/2:C2H2,1.5457637516556133,granulocyte monocyte progenitor cell
pseudobulk_82,KLF/SP/2:C2H2,1.4492655403864774,granulocyte monocyte progenitor cell
pseudobulk_83,KLF/SP/2:C2H2,1.5645396167092258,Slamf1-negative multipotent progenitor cell
pseudobulk_84,KLF/SP/2:C2H2,1.022320190902974,naive B cell
pseudobulk_85,KLF/SP/2:C2H2,1.1177776321351303,precursor B cell
pseudobulk_86,KLF/SP/2:C2H2,1.1130285235667543,precursor B cell
pseudobulk_87,KLF/SP/2:C2H2,1.441423282085907,immature B cell
pseudobulk_88,KLF/SP/2:C2H2,1.5564480491766517,Slamf1-negative multipotent progenitor cell
pseudobulk_89,KLF/SP/2:C2H2,1.3017787957960536,naive B cell
pseudobulk_90,KLF/SP/2:C2H2,1.3764926779876987,naive B cell
pseudobulk_91,KLF/SP/2:C2H2,1.4828445681330393,macrophage
pseudobulk_92,KLF/SP/2:C2H2,1.4304361769245588,macrophage
pseudobulk_93,KLF/SP/2:C2H2,1.368380541978695,immature B cell
pseudobulk_94,KLF/SP/2:C2H2,1.323282973015921,naive B cell
pseudobulk_95,KLF/SP/2:C2H2,1.521020140753535,Slamf1-negative multipotent progenitor cell
pseudobulk_96,KLF/SP/2:C2H2,1.152446325890196,naive B cell
pseudobulk_97,KLF/SP/2:C2H2,1.5653380355179252,Slamf1-negative multipotent progenitor cell
pseudobulk_98,KLF/SP/2:C2H2,1.1196782646693464,immature T cell
pseudobulk_99,KLF/SP/2:C2H2,1.1982964067447028,immature NK T cell
pseudobulk_0,YY1:C2H2,1.0268993373501871,late pro-B cell
pseudobulk_1,YY1:C2H2,0.9690217943061725,naive B cell
pseudobulk_2,YY1:C2H2,1.0724657906757784,late pro-B cell
pseudobulk_3,YY1:C2H2,0.983518232458664,macrophage
pseudobulk_4,YY1:C2H2,1.1193086177954683,late pro-B cell
pseudobulk_5,YY1:C2H2,0.9290944765816675,precursor B cell
pseudobulk_6,YY1:C2H2,0.8005484177192557,naive B cell
pseudobulk_7,YY1:C2H2,0.931949056997837,naive B cell
pseudobulk_8,YY1:C2H2,0.9251757868914865,granulocyte
pseudobulk_9,YY1:C2H2,0.984911233841558,granulocyte
pseudobulk_10,YY1:C2H2,0.7565135429540533,granulocyte
pseudobulk_11,YY1:C2H2,1.0237311819983006,granulocyte monocyte progenitor cell
pseudobulk_12,YY1:C2H2,0.7081280243201036,granulocyte
pseudobulk_13,YY1:C2H2,1.0446347921424604,naive B cell
pseudobulk_14,YY1:C2H2,1.0656835858826526,naive B cell
pseudobulk_15,YY1:C2H2,1.0383388471236685,naive B cell
pseudobulk_16,YY1:C2H2,0.9627340438601095,mature natural killer cell
pseudobulk_17,YY1:C2H2,1.0549977101036347,precursor B cell
pseudobulk_18,YY1:C2H2,1.1164732985926094,naive B cell
pseudobulk_19,YY1:C2H2,1.0159687552950345,late pro-B cell
pseudobulk_20,YY1:C2H2,0.9658682011358906,naive B cell
pseudobulk_21,YY1:C2H2,1.0011483929010865,precursor B cell
pseudobulk_22,YY1:C2H2,1.047788001720619,late pro-B cell
pseudobulk_23,YY1:C2H2,0.928876199239312,granulocyte
pseudobulk_24,YY1:C2H2,0.9272763320477679,granulocyte
pseudobulk_25,YY1:C2H2,0.8487428625012399,granulocyte
pseudobulk_26,YY1:C2H2,0.915070794573694,precursor B cell
pseudobulk_27,YY1:C2H2,0.9346431073063286,hematopoietic precursor cell
pseudobulk_28,YY1:C2H2,0.9452797466074117,Slamf1-negative multipotent progenitor cell
pseudobulk_29,YY1:C2H2,0.9416887278130162,Slamf1-negative multipotent progenitor cell
pseudobulk_30,YY1:C2H2,1.0065623128102743,common lymphoid progenitor
pseudobulk_31,YY1:C2H2,0.9610931358693051,Slamf1-negative multipotent progenitor cell
pseudobulk_32,YY1:C2H2,0.9623299833765486,Slamf1-negative multipotent progenitor cell
pseudobulk_33,YY1:C2H2,0.8982059269201272,common lymphoid progenitor
pseudobulk_34,YY1:C2H2,0.9572588423652633,Slamf1-negative multipotent progenitor cell
pseudobulk_35,YY1:C2H2,0.9754549072749796,precursor B cell
pseudobulk_36,YY1:C2H2,0.8375557587805815,hematopoietic precursor cell
pseudobulk_37,YY1:C2H2,0.6592330375133315,granulocyte
pseudobulk_38,YY1:C2H2,0.7462723149074009,granulocyte
pseudobulk_39,YY1:C2H2,0.8909525413546362,granulocyte
pseudobulk_40,YY1:C2H2,0.8262163925483037,monocyte
pseudobulk_41,YY1:C2H2,0.8777158645534655,granulocyte
pseudobulk_42,YY1:C2H2,0.9593225600820006,monocyte
pseudobulk_43,YY1:C2H2,0.9537416093226057,granulocyte
pseudobulk_44,YY1:C2H2,0.6620489609740616,granulocyte
pseudobulk_45,YY1:C2H2,0.9507737145158899,monocyte
pseudobulk_46,YY1:C2H2,0.9938303740345873,granulocytopoietic cell
pseudobulk_47,YY1:C2H2,0.9777726004867873,granulocyte
pseudobulk_48,YY1:C2H2,0.8130314199588611,granulocyte
pseudobulk_49,YY1:C2H2,0.8992062418692512,naive B cell
pseudobulk_50,YY1:C2H2,0.9843363660302202,late pro-B cell
pseudobulk_51,YY1:C2H2,0.9803797848217073,mature natural killer cell
pseudobulk_52,YY1:C2H2,0.9653910519155033,precursor B cell
pseudobulk_53,YY1:C2H2,0.9655827092643108,late pro-B cell
pseudobulk_54,YY1:C2H2,0.987934206292266,immature T cell
pseudobulk_55,YY1:C2H2,1.0521660905251338,naive B cell
pseudobulk_56,YY1:C2H2,1.0686018557244097,immature B cell
pseudobulk_57,YY1:C2H2,1.0069392522491398,naive B cell
pseudobulk_58,YY1:C2H2,0.956395684806921,mature natural killer cell
pseudobulk_59,YY1:C2H2,0.998977840097723,Slamf1-positive multipotent progenitor cell
pseudobulk_60,YY1:C2H2,1.0129852222635236,granulocyte monocyte progenitor cell
pseudobulk_61,YY1:C2H2,0.9334901063630241,Slamf1-negative multipotent progenitor cell
pseudobulk_62,YY1:C2H2,0.9876406326220604,common lymphoid progenitor
pseudobulk_63,YY1:C2H2,0.9709603100718596,Slamf1-positive multipotent progenitor cell
pseudobulk_64,YY1:C2H2,0.8159224094961246,monocyte
pseudobulk_65,YY1:C2H2,0.9975652891389473,monocyte
pseudobulk_66,YY1:C2H2,0.6932980162576996,granulocyte
pseudobulk_67,YY1:C2H2,0.649129342091328,granulocyte
pseudobulk_68,YY1:C2H2,0.9822506787841121,monocyte
pseudobulk_69,YY1:C2H2,1.00963358293302,macrophage
pseudobulk_70,YY1:C2H2,0.9981623001222033,granulocyte
pseudobulk_71,YY1:C2H2,0.6461885933103986,granulocyte
pseudobulk_72,YY1:C2H2,0.6080120300175622,granulocyte
pseudobulk_73,YY1:C2H2,0.9555318861166597,granulocyte
pseudobulk_74,YY1:C2H2,0.9892067364307877,monocyte
pseudobulk_75,YY1:C2H2,0.6758397545781918,granulocyte
pseudobulk_76,YY1:C2H2,0.9417241297851433,naive B cell
pseudobulk_77,YY1:C2H2,0.958151662707678,Slamf1-negative multipotent progenitor cell
pseudobulk_78,YY1:C2H2,0.9534726008860162,Slamf1-negative multipotent progenitor cell
pseudobulk_79,YY1:C2H2,0.9937437697772111,Slamf1-negative multipotent progenitor cell
pseudobulk_80,YY1:C2H2,0.9905836261168588,Slamf1-negative multipotent progenitor cell
pseudobulk_81,YY1:C2H2,1.032320359365258,granulocyte monocyte progenitor cell
pseudobulk_82,YY1:C2H2,1.0757305221341085,granulocyte monocyte progenitor cell
pseudobulk_83,YY1:C2H2,0.9615495321995695,Slamf1-negative multipotent progenitor cell
pseudobulk_84,YY1:C2H2,0.8770257148862584,naive B cell
pseudobulk_85,YY1:C2H2,0.8933507055880909,precursor B cell
