,motif,family,subfamily,family_genes
6_454,6_454,C2H2,GC-tract:C2H2,"['Klf15', 'Maz', 'Zn467', 'Zn263', 'Zn770', 'Zn341', 'Taf1', 'Zsc22', 'Thap1', 'Znf263']"
6_456,6_456,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
6_462,6_462,C2H2,YY1:C2H2,"['Tyy1', 'Zfp42', 'Yy1', 'Yy2']"
6_468,6_468,bHLH,Ebox/CAGCTG:bHLH,"['Ascl1', 'Ascl2', 'Myog', 'Myf6', 'Myod1', 'Bha15', 'Tfe2', 'Tfap4', 'Zbt18', 'Tcf12', 'Nhlh1', 'Twist1', 'Msc', 'Zbtb18', 'Tcf21', 'Znf238']"
6_472,6_472,ETS,ETS/2:ETS,"['Ehf', 'Elf3', 'Elf5', 'Erg', 'Etv2', 'Elf2', 'Etv5', 'Ets1', 'Fli1', 'Elk4', 'Etv4', 'Etv6', 'Ets2', 'Fev']"
6_495,6_495,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
6_503,6_503,C2H2,ZFX:C2H2,['Zfx']
6_504,6_504,E2F,E2F/2:E2F,"['E2f1', 'Tfdp1', 'E2f4', 'E2f6', 'E2f3', 'E2f7']"
6_515,6_515,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
6_523,6_523,ETS,ETS/1:ETS,"['Elf1', 'Elf2', 'Gabpa', 'Elk1', 'Elk4', 'Etv1', 'Ehf', 'Elf4', 'Elf3', 'Elf5', 'Etv6', 'Elk3', 'Zbtb7a', 'Fev', 'Etv4', 'Erg', 'Ets1', 'Etv5', 'Etv3', 'Fli1', 'Etv2', 'Spdef', 'Erf']"
6_525,6_525,C2H2,GC-tract:C2H2,"['Klf15', 'Maz', 'Zn467', 'Zn263', 'Zn770', 'Zn341', 'Taf1', 'Zsc22', 'Thap1', 'Znf263']"
6_529,6_529,C2H2,GC-tract:C2H2,"['Klf15', 'Maz', 'Zn467', 'Zn263', 'Zn770', 'Zn341', 'Taf1', 'Zsc22', 'Thap1', 'Znf263']"
6_549,6_549,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
